Spill Number,Program Facility Name,Street 1,Street 2,Locality,County,ZIP Code,SWIS Code,DEC Region,Spill Date,Received Date,Contributing Factor,Waterbody,Source,Close Date,Material Name,Material Family,Quantity,Units,Recovered
0107132,MH 864,RT 119/MILLWOOD RD,,ELMSFORD,Westchester,,6000,3,10/10/2001,10/10/2001,Unknown,,Unknown,10/15/2001,unknown material,Other,10,Gallons,0
0405586,BOWRY BAY,WATER POLL CONTROL,,QUEENS,Queens,,4101,2,08/21/2004,08/21/2004,Other,EAST RIVER,Unknown,09/17/2004,raw sewage,Other,0,,0
0405586,BOWRY BAY,WATER POLL CONTROL,,QUEENS,Queens,,4101,2,08/21/2004,08/21/2004,Other,EAST RIVER,Unknown,09/17/2004,raw sewage,Other,0,Pounds,0
0204667,POLE 16091,GRACE AVE/BURKE AVE,,BRONX,Bronx,,0301,2,08/02/2002,08/02/2002,Equipment Failure,,Commercial/Industrial,10/28/2002,transformer oil,Petroleum,1,Gallons,0
0210559,POLE ON,FERDALE LOMIS RD / RT 52,,LIBERTY,Sullivan,,5336,3,01/20/2003,01/20/2003,Traffic Accident,,Commercial/Industrial,01/22/2003,transformer oil,Petroleum,6,Gallons,6
0311484,PRIVATE RESIDENCE,6568 GLEN HAVEN RD,,SCOTT,Cortland,,1238,7,01/11/2004,01/11/2004,Equipment Failure,,Private Dwelling,08/25/2004,#2 fuel oil,Petroleum,75,Gallons,0
0104307,149TH RD,"183RD ST, 149TH AV& 149RD",,QUEENS,Queens,,4101,2,07/23/2001,07/23/2001,Abandoned Drums,,Unknown,08/01/2001,unknown material,Other,0,Gallons,0
0160046,ABANDONED DRUMS,BAKER SCHOOL HOUSE ROAD,,SOLON,Cortland,,1200,7,11/23/2001,11/23/2001,Abandoned Drums,,Unknown,05/14/2002,unknown material,Other,0,Gallons,0
9606869,AMSTERDAM AVE,WEST 79 TH STREET,,NYC,New York,,3101,2,08/28/1996,08/28/1996,Traffic Accident,,Commercial Vehicle,08/29/1996,antifreeze,Other,2,Gallons,2
0312198,APARTMENT BUILDING,4 SOUTH SIDE TERRACE APAR,,NEW PALTZ,Ulster,,5638,3,02/02/2004,02/02/2004,Tank Failure,,Commercial/Industrial,04/05/2004,#2 fuel oil,Petroleum,0,Pounds,0
0109039,APT BUILDING    ',94-06  34TH RD,,QUEENS,Queens,,4101,2,12/11/2001,12/11/2001,Equipment Failure,,Tank Truck,12/21/2001,#2 fuel oil,Petroleum,5,Gallons,5
0312848,BROOKLYN TECH HIGHSCHOOL,29 FORT GREEN PLACE,,BROOKLYN,Kings,,2401,2,02/20/2004,02/20/2004,Human Error,,"Institutional, Educational, Gov., Other",02/27/2004,#6 fuel oil,Petroleum,10,Gallons,0
0260048,CRAINS MILL ROAD,CRAINS MILL ROAD,,TRUXTON,Cortland,,1244,7,10/16/2002,10/16/2002,Deliberate,,Unknown,10/20/2002,unknown material,Other,0,Gallons,0
0400907,CSX RAILYARD,644 ULSTER AVE,,KINGSTON,Ulster,,5630,3,04/27/2004,04/27/2004,Equipment Failure,,Railroad Car,04/27/2004,lube oil,Petroleum,10,Gallons,0
